time,load
2014-01-02 09:15:00,560.9730380629333
2014-01-02 09:30:00,574.7402672702888
2014-01-02 09:45:00,570.0460075067444
2014-01-02 10:00:00,616.2590371092556
2014-01-02 10:15:00,649.099267317989
2014-01-02 10:30:00,641.8211527330666
2014-01-02 10:45:00,689.3425427100667
2014-01-02 11:00:00,695.5489883693779
2014-01-02 11:15:00,625.1676585958667
2014-01-02 11:30:00,614.3458331180667
2014-01-02 11:45:00,615.8579933157333
2014-01-02 12:00:00,599.3491174031889
2014-01-02 12:15:00,627.4425099864222
2014-01-02 12:30:00,620.4142092466
2014-01-02 12:45:00,631.4661329001666
2014-01-02 13:00:00,693.4385401935778
2014-01-02 13:15:00,676.4760129373778
2014-01-02 13:30:00,662.2485203994222
2014-01-02 13:45:00,703.8593190123555
