time,pPV
1641376800,18.36
1641377700,19.48
1641378600,17.6
1641379500,18.04
1641380400,17.72
1641381300,19.08
1641382200,17.92
1641383100,17.92
1641384000,18.28
1641384900,18.24
1641385800,17.6
1641386700,17.8
1641387600,19.08
1641388500,19.64
1641389400,19.32
1641390300,19.0
1641391200,18.16
1641392100,18.0
1641393000,18.44
1641393900,17.96
1641394800,17.6
1641395700,18.88
1641396600,18.16
1641397500,18.12
1641398400,17.64
1641399300,17.44
1641400200,18.16
1641401100,17.12
1641402000,17.0
1641402900,17.12
1641403800,17.04
1641404700,17.12
1641405600,18.52
1641406500,17.24
1641407400,17.0
1641408300,17.2
1641409200,16.92
1641410100,17.16
1641411000,17.0
1641411900,17.12
1641412800,16.52
1641413700,15.88
1641414600,15.96
1641415500,15.84
1641416400,16.0
1641417300,15.8
1641418200,16.04
1641419100,15.84
1641420000,9.64
1641420900,9.36
1641421800,9.6
1641422700,9.36
1641423600,9.52
1641424500,9.52
1641425400,9.44
1641426300,9.6
1641427200,9.24
1641428100,9.64
1641429000,9.4
1641429900,9.68
1641430800,9.32
1641431700,9.6
1641432600,9.24
1641433500,9.64
1641434400,9.52
1641435300,9.52
1641436200,9.48
1641437100,9.36
1641438000,9.64
1641438900,9.44
1641439800,9.68
1641440700,9.36
1641441600,9.68
1641442500,9.44
1641443400,9.64
1641444300,9.4
1641445200,9.52
1641446100,9.4
1641447000,9.56
1641447900,9.6
1641448800,11.16
1641449700,12.2
1641450600,11.88
1641451500,12.36
1641452400,12.12
1641453300,12.4
1641454200,12.04
1641455100,12.08
1641456000,12.12
1641456900,12.2
1641457800,12.28
1641458700,12.16
1641459600,12.2
1641460500,11.96
1641461400,12.8
1641462300,11.96
1641463200,12.32
1641464100,12.0
1641465000,12.12
1641465900,13.68
1641466800,12.4
1641467700,13.04
1641468600,12.0
1641469500,12.28
1641470400,12.0
1641471300,12.2
1641472200,11.96
1641473100,12.56
1641474000,13.04
1641474900,13.44
1641475800,12.0
1641476700,11.96
1641477600,12.24
1641478500,12.0
1641479400,12.36
1641480300,12.0
1641481200,12.16
1641482100,12.0
1641483000,12.96
1641483900,12.0
1641484800,12.24
1641485700,12.12
1641486600,12.16
1641487500,12.24
1641488400,11.96
1641489300,12.16
1641490200,12.0
1641491100,12.36
1641492000,12.08
1641492900,12.24
1641493800,11.96
1641494700,12.2
1641495600,12.08
1641496500,12.32
1641497400,12.24
1641498300,12.2
1641499200,11.6
1641500100,10.92
1641501000,11.28
1641501900,11.12
1641502800,11.2
1641503700,10.84
1641504600,11.16
1641505500,10.96
1641506400,9.68
1641507300,9.6
1641508200,9.56
1641509100,9.64
1641510000,9.4
1641510900,9.64
1641511800,9.48
1641512700,9.8
1641513600,9.52
1641514500,9.68
1641515400,9.4
1641516300,9.64
1641517200,9.4
1641518100,9.64
1641519000,9.48
1641519900,9.24
1641520800,9.6
1641521700,9.28
1641522600,9.56
1641523500,9.36
1641524400,9.6
1641525300,9.36
1641526200,9.56
1641527100,9.4
1641528000,10.6
1641528900,10.52
1641529800,10.52
1641530700,10.6
1641531600,10.4
1641532500,10.6
1641533400,10.2
1641534300,10.68
1641535200,15.32
1641536100,17.24
1641537000,16.92
1641537900,17.08
1641538800,17.08
1641539700,17.88
1641540600,20.76
1641541500,19.96
1641542400,19.12
1641543300,17.6
1641544200,21.24
1641545100,20.6
1641546000,20.92
1641546900,20.52
1641547800,20.0
1641548700,19.36
1641549600,20.84
1641550500,19.48
1641551400,19.2
1641552300,21.08
1641553200,20.96
1641554100,18.36
1641555000,18.12
1641555900,18.0
1641556800,17.4
1641557700,18.96
1641558600,17.6
1641559500,17.76
1641560400,17.48
1641561300,17.92
1641562200,18.08
1641563100,18.04
1641564000,17.04
1641564900,18.08
1641565800,18.0
1641566700,16.96
1641567600,18.76
1641568500,16.8
1641569400,17.96
1641570300,16.84
1641571200,17.28
1641572100,18.92
1641573000,19.2
1641573900,17.96
1641574800,17.12
1641575700,17.12
1641576600,18.2
1641577500,17.4
1641578400,16.56
1641579300,17.0
1641580200,16.68
1641581100,16.92
1641582000,16.52
1641582900,16.92
1641583800,16.52
1641584700,17.04
1641585600,16.12
1641586500,15.68
1641587400,15.52
1641588300,15.64
1641589200,15.64
1641590100,16.32
1641591000,15.64
1641591900,15.48
1641592800,9.28
1641593700,9.0
1641594600,9.2
1641595500,8.88
1641596400,9.24
1641597300,8.96
1641598200,9.36
1641599100,8.96
1641600000,9.08
1641600900,9.12
1641601800,9.16
1641602700,9.24
1641603600,9.12
1641604500,9.08
1641605400,8.92
1641606300,9.2
1641607200,9.04
1641608100,9.4
1641609000,8.96
1641609900,9.16
1641610800,9.0
1641611700,9.32
1641612600,9.12
1641613500,9.16
1641614400,10.16
1641615300,10.08
1641616200,10.16
1641617100,10.04
1641618000,10.36
1641618900,10.04
1641619800,10.28
1641620700,9.88
1641621600,15.44
1641622500,16.36
1641623400,16.64
1641624300,16.64
1641625200,16.64
1641626100,16.64
1641627000,16.56
1641627900,16.64
1641628800,16.52
1641629700,16.8
1641630600,16.48
1641631500,16.72
1641632400,16.4
1641633300,16.88
1641634200,16.52
1641635100,17.44
1641636000,16.52
1641636900,16.6
1641637800,16.64
1641638700,16.4
1641639600,16.6
1641640500,16.52
1641641400,16.72
1641642300,16.48
1641643200,16.68
1641644100,16.64
1641645000,16.76
1641645900,16.48
1641646800,16.76
1641647700,16.4
1641648600,16.52
1641649500,16.56
1641650400,16.52
1641651300,16.72
1641652200,16.44
1641653100,16.64
1641654000,16.44
1641654900,16.76
1641655800,16.52
1641656700,16.72
1641657600,16.4
1641658500,16.76
1641659400,16.56
1641660300,17.48
1641661200,17.24
1641662100,18.08
1641663000,19.08
1641663900,18.68
1641664800,19.08
1641665700,18.72
1641666600,18.84
1641667500,18.68
1641668400,18.4
1641669300,17.64
1641670200,17.32
1641671100,17.64
1641672000,17.6
1641672900,16.16
1641673800,16.52
1641674700,17.36
1641675600,16.72
1641676500,16.72
1641677400,16.56
1641678300,16.96
1641679200,10.88
1641680100,10.48
1641681000,11.04
1641681900,10.48
1641682800,10.08
1641683700,10.6
1641684600,10.72
1641685500,9.84
1641686400,9.88
1641687300,9.64
1641688200,10.0
1641689100,9.56
1641690000,9.84
1641690900,9.72
1641691800,9.88
1641692700,9.6
1641693600,9.8
1641694500,9.56
1641695400,9.8
1641696300,9.6
1641697200,9.84
1641698100,9.76
1641699000,9.72
1641699900,9.96
1641700800,10.56
1641701700,10.84
1641702600,10.64
1641703500,10.88
1641704400,10.76
1641705300,10.76
1641706200,10.4
1641707100,10.72
1641708000,15.48
1641708900,17.28
1641709800,17.08
1641710700,17.0
1641711600,17.28
1641712500,16.96
1641713400,17.4
1641714300,17.08
1641715200,17.36
1641716100,17.08
1641717000,17.28
1641717900,17.12
1641718800,17.32
1641719700,17.04
1641720600,17.16
1641721500,17.16
1641722400,17.16
1641723300,17.36
1641724200,17.0
1641725100,17.32
1641726000,17.04
1641726900,17.4
1641727800,17.0
1641728700,17.32
1641729600,17.08
1641730500,17.16
1641731400,17.08
1641732300,17.08
1641733200,17.08
1641734100,17.12
1641735000,17.2
1641735900,16.88
1641736800,17.36
1641737700,17.0
1641738600,17.32
1641739500,17.16
1641740400,17.32
1641741300,17.64
1641742200,17.24
1641743100,17.32
1641744000,17.32
1641744900,17.32
1641745800,17.2
1641746700,17.28
1641747600,18.04
1641748500,17.76
1641749400,17.4
1641750300,17.56
1641751200,17.56
1641752100,17.48
1641753000,17.32
1641753900,17.48
1641754800,17.28
1641755700,17.28
1641756600,17.6
1641757500,17.2
